action,driver.attackState,driver.bImpactDone,driver.cooldownRemaining,driver.stateTimer,knockout.bPlayerKO,knockout.bPlayerRagdolled,knockout.bVanguardKO,knockout.bVanguardRagdolled,mover.bCrossingActive,mover.bExternalMovementLocked,mover.currentSideSign,mover.movementIntent,phase,player.bIsAttacking,player.currentHealth,player.x,player.y,player.z,t,tick,vanguard.health,vanguard.x,vanguard.y,vanguard.z
none,0,True,1.6860099136829376,0.6666668057441711,False,False,False,False,False,False,1,0,baseline_idle,False,90,0,0,92.1500015258789,0.329,1,100,207.85044231381056,-136.78903698577784,90
none,1,True,0.2666665971279144,0,False,False,False,False,False,False,1,0,baseline_idle,False,90,0,0,92.1500015258789,2.329,2,100,207.85044231381056,-136.78903698577784,90
none,0,True,3.2394024580717087,0.6666668057441711,False,False,False,False,False,True,1,0,baseline_idle,False,90,0,0,92.1500015258789,4.33,3,100,156.22883191337624,-92.30886559626973,90
punch,0,True,1.239401951432228,0.6666668057441711,False,False,False,False,False,False,1,2,punch_loop,True,90,130.19726555701962,-74.92854860837267,92.1500015258789,6.331,4,90,249.38674423921205,-143.61492782815296,90
punch,0,True,0.6,0.6666668057441711,False,False,False,False,False,False,1,2,punch_loop,True,90,264.17641473067005,-124.65705938622911,92.1500015258789,8.33,5,80,380.4631668346267,-133.67047985324405,90
punch,0,False,2.8137810826301575,0,False,False,False,False,False,False,1,2,punch_loop,True,90,319.4155691949065,-129.16622560271693,92.1499995404672,10.663,6,70,397.4155691949065,-133.67047985324405,90
punch,0,False,1.1471140682697296,0,False,False,False,False,False,False,1,2,punch_loop,True,90,439.1621486722093,-111.11146166582168,92.1499995404672,12.663,7,60,528.4919932080539,-91.72602510656847,90
punch,0,False,3.266568899154663,0,False,False,False,False,False,False,1,2,punch_loop,False,90,572,-78.12657387061276,92.1499995404672,14.663,8,50,650,-61.74240338393997,90
punch,0,False,0.9332350790500641,0,False,False,False,False,False,False,1,2,punch_loop,True,90,572,-67.44562795716985,92.1499995404672,16.663,9,40,650,-61.74240338393997,90
punch,0,False,3.6509903371334076,0.6666668057441711,False,False,False,False,False,True,1,2,punch_loop,True,90,572,-64.03385181480532,92.1499995404672,18.996,10,30,650,-61.74240338393997,90
punch,0,False,1.9843232333660126,0.6666668057441711,False,False,False,False,False,False,1,2,punch_loop,True,90,572,-62.67698217916406,92.1499995404672,20.33,11,20,650,-61.74240338393997,90
punch,0,False,0.6,0.6666668057441711,False,False,False,False,False,False,1,2,punch_loop,True,90,572,-67.52747360600263,92.1499995404672,21.996,12,10,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,punch_loop,True,90,602.6661798378974,-70.54976256744314,92.1499995404672,24.329,13,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,punch_loop,True,90,691.8942376365083,-72.69326291756819,92.1499995404672,26.996,14,0,650,-71.68685140411613,90
jump,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,jump_cross,False,90,691.8942376365083,-72.69326291756819,92.15000011918987,28.995,15,0,650,-71.68685140411613,90
jump,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,jump_cross,False,90,691.8942376365083,-72.69326291756819,92.15000069791249,31.663,16,0,650,-71.68685140411613,90
jump,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,jump_cross,False,90,691.8942376365083,-72.69326291756819,92.15000258709202,34.329,17,0,650,-71.68685140411613,90
jump,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,jump_cross,False,90,691.8942376365083,-72.69326291756819,92.1500006615743,36.662,18,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,punch_loop,True,90,602.6661800893165,-70.54975210158685,92.1500006615743,38.996,19,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,punch_loop,False,90,691.8942372526975,-72.69327889442614,92.1500006615743,41.33,20,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,punch_loop,False,90,602.6661798557353,-70.54976182485365,92.1500006615743,43.33,21,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,punch_loop,True,90,691.8942376064043,-72.69326417065524,92.1500006615743,45.329,22,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,punch_loop,True,90,602.666180069943,-70.54975290798876,92.1500006615743,47.663,23,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,punch_loop,True,90,691.8942372752731,-72.69327795461113,92.1500006615743,50.33,24,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,punch_loop,True,90,602.666179869113,-70.54976126791162,92.1500006615743,52.663,25,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,punch_loop,True,90,691.8942375838253,-72.69326511047062,92.1500006615743,54.996,26,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,jump_punch_mix,True,90,602.666180056562,-70.54975346493123,92.1500006615743,57.329,27,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,jump_punch_mix,False,90,691.8942372978487,-72.69327701479608,92.1500006615743,59.329,28,0,650,-71.68685140411613,90
jump,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,jump_punch_mix,False,90,691.8942372978487,-72.69327701479608,92.15000255075384,61.663,29,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,jump_punch_mix,False,90,602.6661798840237,-70.54976064715733,92.15000255075384,63.996,30,0,650,-71.68685140411613,90
punch,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,jump_punch_mix,True,90,691.8942375687727,-72.69326573701417,92.15000255075384,65.996,31,0,650,-71.68685140411613,90
none,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,idle_tail,False,90,691.8942375687727,-72.69326573701417,92.15000255075384,67.996,32,0,650,-71.68685140411613,90
none,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,idle_tail,False,90,691.8942375687727,-72.69326573701417,92.15000255075384,69.663,33,0,650,-71.68685140411613,90
none,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,idle_tail,False,90,691.8942375687727,-72.69326573701417,92.15000255075384,71.663,34,0,650,-71.68685140411613,90
none,0,False,2.534791100770235,0,False,False,True,True,False,False,1,2,idle_tail,False,90,691.8942375687727,-72.69326573701417,92.15000255075384,73.663,35,0,650,-71.68685140411613,90
