action,driver.attackState,driver.bImpactDone,driver.cooldownRemaining,driver.stateTimer,knockout.bPlayerKO,knockout.bPlayerRagdolled,knockout.bVanguardKO,knockout.bVanguardRagdolled,mover.bCrossingActive,mover.bExternalMovementLocked,mover.currentSideSign,mover.movementIntent,phase,player.bIsAttacking,player.currentHealth,player.x,player.y,player.z,t,tick,vanguard.health,vanguard.x,vanguard.y,vanguard.z
none,0,True,1.8710946291685104,0.6666668057441711,False,False,False,False,False,False,1,0,baseline_idle,False,90,0,0,92.1500015258789,0.329,1,100,208.95166015356077,68.41857861350744,90
none,1,True,0.20442761480808258,0.6666668057441711,False,False,False,False,False,True,1,0,baseline_idle,False,90,0,0,92.1500015258789,2.662,2,100,112.0349933429535,23.354490217444315,90
none,0,True,3.1836399137973785,0.6666668057441711,False,False,False,False,False,False,1,2,baseline_idle,False,80,0,0,92.1500015258789,4.995,3,100,193.11140470341994,23.354490217444315,90
punch,0,True,0.516972690820694,0.6666668057441711,False,False,False,False,False,False,1,2,punch_loop,True,80,128.1836497047363,15.670091133692566,92.149999581841,7.33,4,90,237.26005007559638,23.354490217444315,90
punch,0,False,3.1239712238311768,0,False,False,False,False,False,False,1,2,punch_loop,True,80,176.1510270451325,19.256260592843898,92.149999581841,9.662,5,80,254.1510270451325,23.354490217444315,90
punch,0,False,1.457304209470749,0,False,False,False,False,False,False,1,2,punch_loop,True,80,246.6853888697672,30.40974462087686,92.149999581841,11.33,6,70,366.30383997600916,39.354493603327626,90
punch,0,False,2.491342768073082,0.33333340287208557,False,False,False,False,False,False,1,2,punch_loop,True,80,396.47637305859206,14.97707315808445,92.149999581841,13.663,7,60,555.5527844190585,7.354486831560983,90
punch,0,False,0.6,0.33333340287208557,False,False,False,False,False,False,1,2,punch_loop,True,80,541.2488705227917,-18.5772843234634,92.149999581841,16.329,8,50,650,-57.506642420977286,90
punch,0,False,2.8523972257971764,0,False,False,False,False,False,False,1,2,punch_loop,True,80,572,-39.16935250192784,92.149999581841,18.662,9,40,650,-57.506642420977286,90
punch,0,False,0.6,0,False,False,False,False,False,False,1,2,punch_loop,True,80,572,-51.34942192816645,92.149999581841,20.663,10,30,650,-57.506642420977286,90
punch,0,False,3.3779004216194153,0,False,False,False,False,False,False,1,2,punch_loop,True,80,572,-55.04520259922652,92.149999581841,23.329,11,20,650,-47.56219440080112,90
punch,0,False,0.7112331986427307,0,False,False,False,False,False,False,1,2,punch_loop,True,80,572,-24.485138060279976,92.149999581841,25.662,12,10,650,26.382267686071188,90
punch,0,False,2.748023934662342,0.6666668057441711,False,False,True,True,False,False,1,2,punch_loop,True,80,601.312546602501,14.764834067517313,92.149999581841,28.329,13,0,650,26.382267686071188,90
jump,0,False,2.748023934662342,0.6666668057441711,False,False,True,True,False,False,1,2,jump_cross,False,80,601.312546602501,14.764834067517313,92.15000016056364,30.662,14,0,650,26.382267686071188,90
jump,0,False,2.748023934662342,0.6666668057441711,False,False,True,True,False,False,1,2,jump_cross,False,80,601.312546602501,14.764834067517313,92.15000073928626,32.329,15,0,650,26.382267686071188,90
jump,0,False,2.748023934662342,0.6666668057441711,False,False,True,True,False,False,1,2,jump_cross,False,80,601.312546602501,14.764834067517313,92.15000262846578,34.329,16,0,650,26.382267686071188,90
jump,0,False,2.748023934662342,0.6666668057441711,False,False,True,True,False,False,1,2,jump_cross,False,80,601.312546602501,14.764834067517313,92.15000070294806,36.663,17,0,650,26.382267686071188,90
jump,0,False,2.748023934662342,0.6666668057441711,False,False,True,True,False,False,1,2,jump_cross,False,80,601.312546602501,14.764834067517313,92.1500025921276,38.663,18,0,650,26.382267686071188,90
jump,0,False,2.748023934662342,0.6666668057441711,False,False,True,True,False,False,1,2,jump_cross,False,80,601.312546602501,14.764834067517313,92.15000066660988,40.33,19,0,650,26.382267686071188,90
punch,0,False,2.748023934662342,0.6666668057441711,False,False,True,True,False,False,1,2,punch_loop,True,80,688.1290690733094,35.48034319326036,92.15000066660988,42.996,20,0,650,26.382267686071188,90
punch,0,False,2.748023934662342,0.6666668057441711,False,False,True,True,False,False,1,2,punch_loop,False,80,601.3125437255466,14.764846124537026,92.15000066660988,44.663,21,0,650,26.382267686071188,90
